country,Happiness_score,household
Haiti,3.602999926,
Honduras,5.181000233,
India,4.315000057,
Indonesia,5.262000084,
Ireland,6.977000237,
Israel,7.212999821,
Kazakhstan,5.818999767,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mali,4.190000057,
Moldova,5.837999821,
Mozambique,4.550000191,
Nepal,4.961999893,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Norway,7.537000179,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Portugal,5.195000172,
Russia,5.962999821,
Senegal,4.534999847,
Sierra Leone,4.709000111,
Slovakia,6.09800005,
Slovenia,5.757999897,
South Africa,4.828999996,
Sri Lanka,4.440000057,
Switzerland,7.493999958,
Tanzania,3.348999977,
Thailand,6.423999786,
Togo,3.494999886,
Uganda,4.080999851,
Ukraine,4.096000195,
United States,6.993000031,
Uruguay,6.453999996,
Venezuela,5.25,
Vietnam,5.073999882,
Zambia,4.513999939,
Albania,4.644000053,
Argentina,6.598999977,
Armenia,4.375999928,
Australia,7.28399992,
Bangladesh,4.607999802,
Belarus,5.568999767,
Belgium,6.890999794,
Bolivia,5.822999954,
Bosnia and Herzegovina,5.18200016,
Brazil,6.635000229,
Bulgaria,4.714000225,
Cameroon,4.695000172,
Canada,7.315999985,
Chad,3.936000109,
Chile,6.65199995,
Colombia,6.356999874,
Costa Rica,7.078999996,
Croatia,5.293000221,
Czech Republic,6.609000206,
Denmark,7.521999836,
Dominican Republic,5.230000019,
Ecuador,6.007999897,
Egypt,4.735000134,
El Salvador,6.002999783,
Estonia,5.611000061,
Georgia,4.285999775,
Germany,6.951000214,
Greece,5.227000237,
Guatemala,6.453999996,
Honduras,5.181000233,
Hungary,5.323999882,
India,4.315000057,
Indonesia,5.262000084,
Iran,4.691999912,
Israel,7.212999821,
Italy,5.964000225,
Japan,5.920000076,
Kazakhstan,5.818999767,
Kosovo,5.278999805,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Liberia,3.532999992,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mauritania,4.291999817,
Mexico,6.578000069,
Moldova,5.837999821,
Mongolia,4.954999924,
Montenegro,5.236999989,
Mozambique,4.550000191,
Nepal,4.961999893,
Netherlands,7.376999855,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Pakistan,5.269000053,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Poland,5.97300005,
Romania,5.824999809,
Russia,5.962999821,
Senegal,4.534999847,
Serbia,5.394999981,
Sierra Leone,4.709000111,
South Africa,4.828999996,
Spain,6.402999878,
Sri Lanka,4.440000057,
Sweden,7.28399992,
Tanzania,3.348999977,
Thailand,6.423999786,
Turkey,5.5,
Uganda,4.080999851,
Ukraine,4.096000195,
United Kingdom,6.714000225,
United States,6.993000031,
Uruguay,6.453999996,
Vietnam,5.073999882,
Zambia,4.513999939,
Argentina,6.598999977,
Armenia,4.375999928,
Australia,7.28399992,
Austria,7.006000042,
Bangladesh,4.607999802,
Belarus,5.568999767,
Belgium,6.890999794,
Benin,3.657000065,
Bolivia,5.822999954,
Brazil,6.635000229,
Cameroon,4.695000172,
Canada,7.315999985,
Chad,3.936000109,
Chile,6.65199995,
Colombia,6.356999874,
Costa Rica,7.078999996,
Denmark,7.521999836,
Dominican Republic,5.230000019,
Ecuador,6.007999897,
Egypt,4.735000134,
El Salvador,6.002999783,
Estonia,5.611000061,
Finland,7.468999863,
France,6.441999912,
Georgia,4.285999775,
Germany,6.951000214,
Guatemala,6.453999996,
Haiti,3.602999926,
Honduras,5.181000233,
India,4.315000057,
Indonesia,5.262000084,
Iran,4.691999912,
Ireland,6.977000237,
Israel,7.212999821,
Italy,5.964000225,
Japan,5.920000076,
Kazakhstan,5.818999767,
Kosovo,5.278999805,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Liberia,3.532999992,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mali,4.190000057,
Mauritania,4.291999817,
Mexico,6.578000069,
Moldova,5.837999821,
Mongolia,4.954999924,
Mozambique,4.550000191,
Nepal,4.961999893,
