country,Happiness_score,household
Bulgaria,4.714000225,0.376450181
Russia,5.962999821,0.37669006
Germany,6.951000214,0.376836538
Montenegro,5.236999989,0.376894563
Palestinian Territories,4.775000095,0.377490282
Armenia,4.375999928,0.377615452
Poland,5.97300005,0.378063649
Mauritania,4.291999817,0.378482193
Slovenia,5.757999897,0.378871739
Sri Lanka,4.440000057,0.378927261
Spain,6.402999878,0.379620492
Finland,7.468999863,0.379710972
Mongolia,4.954999924,0.379856855
Ecuador,6.007999897,0.380618215
Estonia,5.611000061,0.381159127
Australia,7.28399992,0.381207496
Ukraine,4.096000195,0.381347954
Armenia,4.375999928,0.381563634
Moldova,5.837999821,0.381671816
Estonia,5.611000061,0.381732076
India,4.315000057,0.382374227
Sweden,7.28399992,0.382445574
United Kingdom,6.714000225,0.382688403
United Kingdom,6.714000225,0.382931799
Mongolia,4.954999924,0.383011013
Slovenia,5.757999897,0.383142292
Sri Lanka,4.440000057,0.383518517
Venezuela,5.25,0.383746594
Latvia,5.849999905,0.384025455
Indonesia,5.262000084,0.384161025
Spain,6.402999878,0.384632498
Indonesia,5.262000084,0.38479504
Armenia,4.375999928,0.385223031
Armenia,4.375999928,0.385237962
Bulgaria,4.714000225,0.385362953
Germany,6.951000214,0.385464132
Ukraine,4.096000195,0.385915518
Mongolia,4.954999924,0.386413842
Denmark,7.521999836,0.38676554
Senegal,4.534999847,0.386782587
Mauritania,4.291999817,0.386848181
Russia,5.962999821,0.386957049
Peru,5.715000153,0.387330234
Ecuador,6.007999897,0.387520909
Uruguay,6.453999996,0.388047606
Armenia,4.375999928,0.388721585
Spain,6.402999878,0.389747888
Egypt,4.735000134,0.390177876
Germany,6.951000214,0.390182853
Niger,4.027999878,0.390306979
Pakistan,5.269000053,0.390318602
Pakistan,5.269000053,0.390936702
Georgia,4.285999775,0.391394109
Senegal,4.534999847,0.391568363
Niger,4.027999878,0.391734064
Bosnia and Herzegovina,5.18200016,0.391971469
Poland,5.97300005,0.392158389
Portugal,5.195000172,0.392445087
Moldova,5.837999821,0.392462373
Chile,6.65199995,0.392625511
Bangladesh,4.607999802,0.393071204
Ireland,6.977000237,0.393113405
Mauritania,4.291999817,0.393219084
India,4.315000057,0.393607318
Belgium,6.890999794,0.393780649
Cyprus,5.620999813,0.393831193
Netherlands,7.376999855,0.394002587
India,4.315000057,0.394036531
Brazil,6.635000229,0.394136488
Uruguay,6.453999996,0.394264489
Malaysia,6.084000111,0.394268721
